instructions_covered,branches_covered,time_taken_nanos
530,32,8966221
530,32,9062193
531,33,9150410
602,41,9279114
602,41,9392198
664,48,11910400
667,49,12246467
736,56,12730644
739,57,12807400
781,63,13337625
784,64,13446781
1045,69,14565582
1048,70,15016446
1110,75,16426628
1113,76,16710176
1173,82,18425065
1176,83,18918891
1236,89,21791485
1239,90,21983889
1412,95,24794204
1415,96,24917147
1516,103,26258890
1793,113,26478366
1828,116,26582694
1831,117,26690298
1831,117,26833659
2142,126,31408649
2142,126,31507997
2145,127,31642271
2180,130,31990501
2199,135,32127992
2232,137,32709624
2382,142,33140761
2382,142,33243435
2385,143,33379092
2443,147,34630814
2443,147,34719913
2446,148,35940827
2449,150,37021926
2449,150,133255876
