instructions_covered,branches_covered,time_taken_nanos
528,32,9009567
593,39,9315938
593,40,9403083
674,47,12879673
677,48,13035949
749,56,14782850
862,61,14977599
865,62,15106644
904,68,19230812
907,69,19438125
1196,76,22166466
1215,79,22289780
1275,85,26089973
1278,86,26270826
1338,92,28311584
1341,93,28456348
1514,98,29455853
1517,99,29656473
1615,105,33216752
1618,106,33417082
1892,115,35280304
1927,118,35483198
1930,119,35732130
1933,120,35842630
2244,129,40458298
2279,132,40638760
2279,132,40834662
2312,134,41496496
2315,135,42627199
2426,141,44153923
2426,141,44369852
2429,142,44636177
2584,148,47882270
2587,149,48069685
2587,149,48276728
2650,154,50844586
2650,154,50954223
2653,155,52056503
2660,157,53854270
2660,157,54004966
2661,158,54316737
2661,158,157968919
2662,159,671217559
