instructions_covered,branches_covered,time_taken_nanos
173,9,9731786
259,16,9903011
259,16,10003501
400,22,14136947
403,23,14372593
588,32,18368628
591,33,18630825
653,38,23291930
656,39,23609922
791,45,26912622
794,46,27016249
852,51,27381852
855,52,27701257
1154,65,29489878
1157,66,29640493
1157,66,29955761
1223,72,31142791
1226,73,31259543
1292,79,32270509
1295,80,32426074
1336,85,35685261
1339,86,35843651
1445,93,36671300
1448,94,36783593
1509,99,41097891
1512,100,41240080
1759,109,42116692
1762,110,42746786
1787,111,43506546
1790,112,45632937
1790,112,244628482
1791,113,273815315
1791,113,284545655
