instructions_covered,branches_covered,time_taken_nanos
416,30,8734817
419,31,9034885
537,38,12512377
540,39,13136199
717,51,17132073
720,52,17268462
720,52,17452270
800,61,21554587
800,61,21643355
1066,71,24170645
1069,72,24255085
1072,73,24523143
1175,84,26522653
1178,85,26619587
1178,85,26861546
1324,91,26967286
1611,105,28781785
1611,105,28925628
1614,106,29014316
1762,127,29147158
1787,132,30592528
1828,135,31460894
1908,141,33148432
1908,141,33285903
1911,142,33449543
1911,142,34195667
1927,144,34724830
1996,148,35666415
1996,148,35769371
1999,149,36146075
2057,153,37913625
2060,154,38027942
2291,171,41394002
2292,172,114428047
2292,172,129063088
2307,175,236857362
2322,178,367527155
2337,181,502663746
2337,181,644951322
2352,184,977692461
2355,185,1351092479
2355,185,1674628039
2370,188,2167946792
