instructions_covered,branches_covered,time_taken_nanos
509,34,10156913
593,42,10325603
956,57,10513870
959,58,10624159
959,58,10713909
993,64,12628498
994,65,12857602
1054,71,13460304
1057,72,13873798
1167,77,16460571
1170,78,16957924
1279,84,20881301
1282,85,20967033
1326,92,23789634
1326,92,23999091
1441,98,26922512
1441,98,27086383
1610,103,30622585
1613,104,31116572
1722,112,31337851
1883,120,31470613
1883,120,31597022
1886,121,31849681
2318,157,33543883
2321,158,33917320
2393,167,34246545
2396,168,34470449
2460,174,35677316
2463,175,35821890
2582,180,39155650
2585,181,40409056
2585,184,43783422
2625,185,44286756
2628,186,44544044
2633,188,46123748
2633,188,170975824
2636,189,204805197
2636,189,433309416
2636,189,551465851
