instructions_covered,branches_covered,time_taken_nanos
1167,61,9809033
1167,62,10518828
1232,69,13156468
1235,70,13247541
1306,82,13521600
1308,83,13663529
1348,88,14379306
1349,89,14483443
1392,95,15692445
1392,95,15778027
1448,100,18561192
1451,101,19146893
1544,110,21744847
1547,111,21868311
1588,117,26031943
1588,117,26146661
1691,129,27814582
1694,130,28227355
1752,135,31923130
1830,144,32296408
1833,145,32391157
1894,150,33587545
1897,151,34132337
1968,156,35314077
2070,163,36025446
2073,164,36298323
2112,170,37402506
2115,171,37527343
2185,179,39816672
2188,180,40584788
2255,186,43052005
2344,195,43255380
2344,195,43408220
2423,203,43575868
2426,204,43688291
2511,211,47273336
2514,212,47411909
2606,222,51582494
2609,223,51686141
2680,231,56961921
2683,232,57224448
2748,239,58115537
2751,240,58216579
2823,250,59620921
2908,261,62462157
2927,264,63465098
2930,265,105160501
2933,266,112622415
2936,267,126075756
