instructions_covered,branches_covered,time_taken_nanos
490,32,9908191
491,33,10510533
700,43,13976413
700,43,14070972
703,44,14241315
750,52,15048495
750,52,15184903
888,60,16269539
1261,76,16422549
1264,77,16531395
1267,78,16796157
1329,84,20201572
1329,84,20277566
1474,93,23238549
1604,101,23782049
1607,102,23933967
1649,108,26757068
1652,109,26875172
1725,115,28370497
1725,115,28472831
2043,131,31354443
2085,134,31465964
2088,135,32122498
2166,143,32708689
2208,149,33124347
2211,150,33281425
2272,156,33636879
2275,157,33751767
2353,165,37672518
2356,166,37803486
2400,172,40318264
2400,172,40383347
2464,179,41950588
2464,179,42026411
2508,185,44096676
2508,185,44162180
2648,197,46510521
2678,199,46603708
2846,208,46697956
2846,208,46885391
2909,214,51600419
2912,215,51785439
2973,220,53858008
2976,221,54117379
3061,227,55702875
3064,228,55795711
3141,236,56410256
3144,237,56526386
3440,249,59097610
3443,250,59508178
3528,260,63306688
3531,261,63597419
3533,262,65230474
3536,263,97853371
3536,263,115565204
3539,264,125408021
3540,265,822969124
