instructions_covered,branches_covered,time_taken_nanos
509,34,8943382
593,42,9080302
956,57,9217131
959,58,9308294
959,58,9380010
993,64,11045357
994,65,11280071
1054,71,11821818
1057,72,12178965
1167,77,14391289
1170,78,14815352
1279,84,18086934
1282,85,18162617
1326,92,20888814
1326,92,21091288
1441,98,23967610
1441,98,24085764
1610,103,27779125
1613,104,28319940
1722,112,28503889
1883,120,28664794
1883,120,28822703
1886,121,29109737
2318,157,30986094
2321,158,31213495
2393,167,31625716
2396,168,31799125
2460,174,31975820
2463,175,32326695
2582,180,32725270
2585,181,32870095
2585,184,34768433
2588,185,37154336
2628,186,37245268
2633,188,115178711
2633,188,209666011
2633,188,274184926
2636,189,295411752
2636,189,687604921
