instructions_covered,branches_covered,time_taken_nanos
432,25,8838573
432,25,8981634
565,35,9175973
939,52,9319905
942,53,9458468
942,53,9537668
945,54,9656383
987,61,13583367
990,62,13723933
1145,75,14922575
1148,76,15141470
1148,76,15462549
1220,83,17486766
1223,84,17752951
1496,96,19386377
1496,96,19684642
1499,97,20233222
1499,97,22560293
1542,104,24128265
1542,104,24205411
1669,115,27411147
1669,115,27513912
1846,124,27676290
1849,125,27850811
1852,126,29086012
2161,134,32329049
2161,134,32432676
2196,137,32544197
2229,139,33133013
2232,140,33921658
2456,149,34658856
2456,149,34761791
2459,150,36307591
2523,157,38044333
2523,157,38134844
2533,159,38462054
2533,159,38537047
2536,160,39461308
2539,161,39702145
2539,161,76348287
2540,162,165240853
2541,164,246525708
