instructions_covered,branches_covered,time_taken_nanos
508,34,9515006
593,42,9670872
956,57,9822419
959,58,9922819
959,58,10005406
993,64,11796070
993,65,11993725
1054,71,12516165
1057,72,12867992
1166,77,15308678
1169,78,15829676
1279,84,19435130
1282,85,19515291
1327,92,22383739
1327,92,22504688
1442,98,25246085
1442,98,25360121
1611,103,28911302
1614,104,29424114
1723,112,29590199
1884,120,29733530
1884,120,29870250
1887,121,30159538
2319,157,32029562
2322,158,32585526
2400,167,32714771
2403,168,32802057
2472,175,34594995
2472,175,34683934
2590,180,38389828
2593,181,38673746
2594,184,42297235
2634,185,43254710
2637,186,43648967
2642,188,114980155
2642,188,301956698
2642,188,303782088
2645,189,341118038
2645,189,965470745
