instructions_covered,branches_covered,time_taken_nanos
510,35,8280315
550,36,8364535
555,38,8444226
555,38,8710801
997,60,12881487
1000,61,13075314
1000,62,13173670
1000,62,13332421
1032,68,13988545
1032,69,14082784
1091,75,15004691
1094,76,15566526
1202,82,17987354
1205,83,18487533
1246,89,19710611
1249,90,19788058
1423,96,20150224
1423,96,20250224
1504,103,24076236
1504,103,24188930
1692,112,24319748
1695,113,24620287
1998,138,26786544
2072,147,28963530
2075,148,29110459
2142,154,29594276
2145,155,29723060
2266,160,33464000
2269,161,33704316
2271,164,34392941
2271,164,72727314
2274,165,131427289
2274,165,310277409
