instructions_covered,branches_covered,time_taken_nanos
330,32,8707816
472,39,8862920
472,39,8990692
475,40,9191563
535,45,11175423
538,46,11291844
754,55,12910352
754,57,13015932
757,58,13109810
821,65,17109080
821,65,17213588
894,72,18139023
897,73,18447708
970,79,20025859
973,80,20153611
1034,85,20933970
1037,86,21218309
1091,94,22418524
1124,97,22513083
1124,97,22606230
1124,97,22703023
1161,102,24287317
1164,103,24365295
1366,116,26693869
1366,118,26787155
1369,119,26965543
1369,119,27318793
1436,127,29455533
1439,128,29729913
1477,134,33387366
1480,135,33594889
1545,141,34038360
1548,142,34329632
1577,145,36923789
1617,148,38568536
