instructions_covered,branches_covered,time_taken_nanos
572,36,9089218
573,37,9237519
825,51,10208089
825,52,10448795
828,53,10673150
1704,92,12305946
1704,93,12403741
1704,94,12554397
1704,95,12696286
1709,99,13181566
1709,99,13391674
1767,104,13668028
1839,109,14762372
1842,110,15114700
1910,115,16119474
1913,116,16237348
1913,117,18910374
1913,117,33959851
1913,117,34190919
1913,117,36288414
1916,118,62649923
1916,118,70925409
1916,118,232738585
1916,118,256135844
1916,118,779613944
1916,118,807413107
