instructions_covered,branches_covered,time_taken_nanos
278,27,9247378
426,35,9406289
426,35,9518723
488,41,13419216
491,42,13538933
579,48,15867096
609,50,16030716
957,65,16179839
960,66,16488033
1206,81,17802805
1209,82,18365892
1338,90,23319542
1341,91,23428678
1478,99,24087507
1478,99,24194801
1522,108,24555284
1525,109,24649883
1813,130,26537121
1816,131,26641419
1816,131,26737661
1819,132,27749649
1970,138,31813272
1973,139,31927078
2046,148,35135359
2049,149,35256248
2293,162,36758235
2296,163,36852033
2372,171,41186488
2372,171,41283763
2418,177,41715752
2421,178,41904760
2425,179,44202035
2428,180,45728508
2479,184,140108845
2479,184,140718531
2479,184,237801411
2480,185,1527240356
