instructions_covered,branches_covered,time_taken_nanos
418,13,9815134
421,14,10270718
484,19,12790674
487,20,12927915
546,25,15475233
549,26,15549674
737,33,17324468
740,34,17544936
837,39,23554748
840,40,23750068
1122,52,24034036
1266,58,26314389
1269,59,26642250
1365,64,28603788
1368,65,28780593
1459,75,28964131
1598,80,30787968
1601,81,31399277
1702,87,37275576
1705,88,37499140
1794,98,39992446
1854,103,41390465
1857,104,41835058
2043,119,43254949
2046,120,43341884
2046,120,43441713
2969,142,47244371
2970,143,48703657
2971,144,49474969
2974,145,49729762
3054,149,50523146
3055,150,51971552
3056,151,54260280
3057,152,54568184
3199,158,55481505
3199,158,55626059
3270,163,61159988
3273,164,61625841
3336,169,62347990
3339,170,63000286
3485,176,64157670
3485,176,64277307
3568,181,64488778
3571,182,64696031
3670,188,69100559
3673,189,69277405
3770,194,74041626
3773,195,74201519
3864,205,74478173
4264,210,79656869
4347,215,82780870
4350,216,83560999
4354,217,86590742
4355,218,167476951
4356,219,181282059
4357,220,290412205
4358,221,292931069
