instructions_covered,branches_covered,time_taken_nanos
2101,97,9392854
2102,98,9882121
2144,104,11854239
2146,105,11981390
2195,111,12406005
2195,111,12481258
2238,118,15987824
2291,125,16776750
2291,126,16859477
2347,135,18968995
2347,135,19039068
2383,141,22392966
2437,146,22558950
2439,147,22764640
2484,152,26166819
2484,153,26259374
2526,162,27233481
2526,162,27327198
2670,172,30230461
2673,173,30383091
2673,173,30457692
2728,179,32396998
2729,180,32474044
2757,186,35438994
2758,187,35519677
2812,189,36122730
2863,194,36463165
2863,195,36906816
2967,200,39358674
2990,208,42085683
2990,208,42246398
3050,213,43096379
3051,214,43196789
3118,220,43450069
3121,221,43643516
3171,228,46458772
3171,228,46961876
3258,235,48041783
3261,236,48136622
3351,247,52918576
3351,247,53006423
3352,248,53154984
3715,272,57769993
3715,272,57907423
3718,273,57996512
3718,273,58190510
3718,273,58373847
3718,273,59128938
3718,273,60364611
3718,273,60580289
3718,273,64982333
3779,278,66471215
3782,279,66731318
3888,284,69750832
3992,293,74145322
4036,297,74278795
4036,297,74444850
4107,306,77691003
4110,307,77835376
4303,313,81466399
4366,318,84412783
4369,319,84559131
4495,325,85410555
4498,326,85677901
4605,333,90024691
4605,333,90132566
4605,333,90395394
4605,333,91111511
4605,333,91246998
4605,333,91982913
4605,333,92428027
4714,338,94624720
4864,350,97203238
4864,350,97317374
4867,351,97978067
4926,356,100751203
4929,357,101120523
4971,364,104619505
4971,364,104714996
5291,373,106339917
5425,381,106489510
5425,381,107307671
5425,382,108099863
5425,382,120180551
5425,382,121516023
5425,382,121667039
5425,382,302119876
5425,382,302331247
5425,382,317584369
5429,383,346752788
5429,383,356231575
5429,383,358228650
5429,383,376277261
5429,383,377780270
5508,385,399807963
5508,385,399895960
5508,385,707451320
5508,385,1386115144
5508,385,1433233286
5508,385,1750463975
5508,385,1804521911
5941,398,1844899737
5944,399,1847422129
5968,401,3005460043
5971,402,3758232490
