instructions_covered,branches_covered,time_taken_nanos
673,31,9338692
750,37,9456756
750,37,9585781
875,50,12197260
878,51,12635521
966,59,16052418
966,59,16730433
1128,63,19480435
1466,85,19705803
1585,90,20283768
1588,91,20557106
1765,100,21773913
1765,100,21884022
1852,106,22099340
1890,107,22474221
1970,114,23943476
2084,123,24117776
2127,124,24774110
2195,130,25561743
2321,134,26357672
2321,135,27076384
2446,143,28395123
2449,144,28850136
2554,150,32692830
2653,155,35049627
2656,156,35483890
2816,160,35955504
2821,162,36888512
2930,169,41120925
3040,176,43626434
3164,191,48930488
3164,191,49017773
3179,195,53034677
3182,196,55680022
3182,196,73350086
3182,196,90066111
3182,197,100121320
3182,197,107692441
3182,197,131616108
3182,197,135341229
3182,197,175184222
3218,201,179475145
3218,201,180434563
3218,201,180751885
3218,201,220764789
3307,203,334847482
3307,203,384538792
3307,203,416689413
3307,204,474985854
3307,204,476061833
3307,204,525149739
3307,204,551641133
3307,204,584392744
3307,204,601275064
3307,204,606168810
3307,204,610476005
3345,205,757780580
3388,206,1213597128
3388,206,2113710818
3481,208,3633228636
3481,208,4661953459
3481,208,6103789010
3519,209,7778901647
