instructions_covered,branches_covered,time_taken_nanos
376,23,8870995
376,23,8951928
381,25,9350133
384,26,9509265
477,33,12336053
842,48,12483323
845,49,12585777
848,50,13012215
891,56,15534606
894,57,15647791
954,63,18464189
957,64,18582694
1004,72,19806583
1004,72,19898468
1081,79,22178850
1081,79,22292886
1111,81,22559381
1272,89,22743410
1705,125,23035884
1708,126,23695455
1787,135,28161150
1790,136,28409370
1852,142,28652110
1855,143,28890502
1861,146,29626287
1864,147,45949538
1864,147,100724122
1864,147,147618561
1864,147,315460023
