instructions_covered,branches_covered,time_taken_nanos
264,17,9852886
356,24,10190556
359,25,10292609
724,40,10486026
727,41,10730680
760,47,14511196
763,48,14676269
814,55,16114675
814,55,16232990
912,60,16519062
915,61,17185695
1012,67,21163185
1015,68,21801825
1045,75,25301068
1045,75,25381460
1140,80,26544585
1143,81,26750715
1300,86,27875548
1303,87,27984033
1569,102,28724336
1572,103,28888457
1575,104,28981624
1575,104,29082605
1960,136,32600845
2281,146,39031283
2360,159,39200354
2395,162,39345539
2398,163,40474880
2447,167,44862496
2447,167,45045192
2450,168,45170340
2496,172,48364665
2496,172,48526161
2499,173,50080077
2603,177,52354137
2603,177,52511836
2606,178,52841631
2656,186,57375194
2656,186,57578700
2659,187,58233772
2659,188,59135821
2659,188,59276097
2709,192,59430289
2712,193,63098613
2715,194,167565309
2716,195,213241498
2719,196,1456274050
2719,196,7616647284
