instructions_covered,branches_covered,time_taken_nanos
301,15,9363849
301,15,9452938
304,16,9531998
571,30,9720405
574,31,9816447
776,42,10148286
779,43,10490755
863,50,12577390
1041,55,12717987
1044,56,13109679
1245,62,15139247
1248,63,15764662
1285,68,16687070
1288,69,16790937
1363,74,19525611
1366,75,19603559
1542,87,22107615
1542,87,22286183
1545,88,22778406
1603,97,25575398
1603,97,25640611
1877,113,25955178
1877,113,26048144
1880,114,26187799
1947,119,29345073
1988,124,29810826
1991,125,29953487
2248,138,30412727
2302,143,30530961
2305,144,30673642
2394,152,31325177
2464,157,31503705
2467,158,32014153
2538,167,33918242
2541,168,34073496
2545,169,36764768
2545,169,39102649
2545,169,48674292
2548,170,59778650
2551,171,105150272
2554,172,111492153
2600,174,115243564
2603,175,115447430
2735,178,115904457
2735,178,156817968
2738,180,229658687
2738,180,1253231283
2738,180,2010079405
2738,180,6104257177
2738,180,7713595078
