instructions_covered,branches_covered,time_taken_nanos
444,30,9530024
531,37,9943287
531,38,10088512
688,48,14906746
764,51,15016904
766,52,15306513
766,52,15435237
797,57,18881189
799,58,18955139
959,68,20046708
962,69,20165704
962,69,20358589
1043,77,23017289
1046,78,23106768
1316,89,24499819
1316,89,24612152
1319,90,25295337
1439,99,27682101
1442,100,27798051
1462,104,30041654
1518,110,30906223
1518,110,31003156
1521,111,31095852
1632,117,35280183
1635,118,35423815
1691,123,36494725
1694,124,36579987
1937,134,41545629
1940,135,41707215
2007,145,41874242
2048,148,42585711
2101,153,46235369
2170,157,46485233
2173,158,46628715
2231,162,49057127
2231,162,49134695
2234,163,49541956
2234,164,50826972
2234,165,53232051
2237,166,128772758
2237,166,281729888
