instructions_covered,branches_covered,time_taken_nanos
884,65,8838103
885,66,9192945
946,74,13185243
946,74,13262159
1043,81,14267955
1361,99,14499254
1361,99,14658445
1364,100,15437472
1426,111,18347107
1484,121,18795517
1487,122,19012208
1713,141,19892567
1713,141,20045637
1716,142,20374169
2020,153,22915917
2055,156,23118401
2055,156,23279867
2080,165,23542505
2117,167,25044822
2188,172,26935286
2188,172,27082164
2246,176,28764704
2249,177,28887316
2249,178,30676428
2252,179,44265846
2253,180,53280924
