instructions_covered,branches_covered,time_taken_nanos
451,28,8239939
491,29,8342864
496,31,8488901
496,31,8687527
568,39,12718869
568,39,12807908
912,54,13090654
915,55,13207856
915,55,13312845
955,61,15327554
958,62,15524627
1016,67,15824456
1019,68,16131177
1087,73,18703553
1090,74,18969397
1211,80,21844256
1211,80,21986996
1280,86,26468582
1283,87,26692626
1328,93,28795793
1331,94,28935077
1393,100,29128333
1393,100,29225317
1474,107,30016086
1504,109,30129030
1665,117,30280267
1665,117,30376609
1706,122,33967325
1973,143,34168366
1973,143,34285779
1976,144,34893320
1976,145,35037955
2058,156,37828784
2060,158,38020768
2061,159,38161154
2064,160,100763467
2067,161,216568305
2067,161,340232679
2067,161,485380246
