instructions_covered,branches_covered,time_taken_nanos
673,31,9053600
748,37,9183316
748,37,9313603
879,50,12025924
882,51,12493831
969,59,16024083
969,59,16575989
1129,63,19596675
1467,85,19833203
1586,90,20438490
1589,91,20735163
1765,100,22011662
1765,100,22136419
1852,106,22375011
1890,107,22779277
1970,114,24309588
2084,123,24533603
2127,124,25289916
2195,130,26116994
2321,134,26950514
2321,135,27673013
2444,143,29020547
2447,144,29454901
2553,150,33004820
2651,155,35065746
2654,156,35453612
2814,160,35865132
2819,162,36679996
2925,169,40691430
3036,176,43439909
3156,191,49209907
3156,191,49297843
3176,195,53594608
3179,196,54466490
3179,196,79026784
3179,196,81329068
3179,197,99107267
3179,197,106741688
3179,197,108926188
3179,197,143062163
3179,197,156947272
3179,197,158008974
3179,197,191786259
3179,197,204261987
3215,202,206065375
3215,202,207744578
3215,202,239721991
3215,202,240958675
3304,204,278655649
3347,205,439511661
3347,205,444960219
3347,205,465121935
3347,205,477184199
3347,205,479048373
3347,205,496842221
3385,206,534654093
3385,206,661525768
3385,206,661854321
3385,206,754116814
3385,206,1895900197
3385,206,2640150560
3385,206,2698756897
3385,206,3061320615
3385,206,3451925935
3385,206,4129523488
