instructions_covered,branches_covered,time_taken_nanos
424,30,8660296
532,39,8933093
903,55,9072758
903,55,9150996
906,56,9469480
951,64,13150066
951,64,13260095
1020,69,13612142
1023,70,13831347
1217,84,16822748
1220,85,16984975
1223,86,17321092
1541,102,18830032
1541,102,18955971
1544,103,19180827
1590,110,21316997
1590,110,21457764
1631,116,24196204
1631,116,24282247
1720,125,25277574
1915,135,25451313
1918,136,25754839
1921,137,26172891
2182,149,29205690
2182,149,29361665
2245,155,30283142
2248,156,30422025
2252,157,32936351
2254,158,36432999
2254,158,66855354
2254,158,99705251
2255,159,670999506
