instructions_covered,branches_covered,time_taken_nanos
403,26,8207288
406,27,8503860
507,34,11541327
510,35,11655083
668,46,12949516
671,47,13145788
733,55,13288439
736,56,13355035
804,62,15824075
807,63,15985381
1065,74,19162162
1107,77,19248376
1107,77,19423227
1158,84,23788382
1161,85,23859456
1292,100,26270426
1322,102,26384562
1325,103,26493649
1519,113,26619758
1740,127,27911407
1743,128,27991148
1746,129,28107949
1746,129,28748163
1746,129,28847391
1968,137,29197274
1971,138,29629052
2064,145,33978667
2137,151,34289275
2140,152,34645130
2191,158,35369133
2194,159,35449014
2196,160,37682448
2199,161,48339488
2498,174,50556009
2498,174,63341975
2501,175,93297015
2501,175,107493043
2502,176,135255306
2505,177,150644005
2508,178,199602947
2508,178,1401207512
2508,178,1965772081
