instructions_covered,branches_covered,time_taken_nanos
281,15,8871936
284,16,9303945
390,25,12944406
390,25,13022193
468,28,13169592
697,40,13512833
759,45,17544686
949,51,17786394
952,52,17975072
997,58,21442003
1000,59,21545339
1095,65,23610163
1098,66,23791376
1415,83,27091381
1415,83,27303994
1415,83,27535774
1461,89,27659218
1464,90,27748176
1505,95,29790668
1508,96,29939860
1609,106,30875764
1609,106,30968290
1777,115,31075934
2035,126,34049160
2038,127,34198022
2194,136,36000118
2194,136,36137118
2260,142,36332578
2260,142,36444591
2264,143,37561518
2267,144,54837955
2270,145,64444654
2270,145,67687912
2271,146,553665720
