instructions_covered,branches_covered,time_taken_nanos
199,10,8905480
199,11,8994840
429,25,12185989
432,26,12373534
551,37,16191851
602,41,16289146
1052,66,20080041
1055,67,20189409
1058,68,21056522
1058,68,21878952
1210,78,25507650
1213,79,25719872
1249,81,25949718
1252,82,26349185
1442,96,31029246
1445,97,31264752
1448,98,31589478
1448,98,33327161
1645,110,35960954
1648,111,36112441
1648,111,36346043
1651,112,36460881
1712,117,37755405
1715,118,38041958
1776,123,40099238
1779,124,41085768
1934,134,43088965
1937,135,43171151
1937,135,43320564
2395,161,45472152
2398,162,45553627
2398,162,45716265
2401,163,45935300
2467,168,47692912
2470,169,48433716
2533,175,51506370
2536,176,51589277
2736,191,52949335
2787,195,53066657
2790,196,53251007
2862,203,53951605
2865,204,54048969
2914,209,54203703
2914,209,54317108
2987,215,58920864
2987,215,59007028
3054,221,61699010
3057,222,61873671
3057,223,64212875
3094,225,126196846
3130,227,138130766
3165,229,155245768
