instructions_covered,branches_covered,time_taken_nanos
297,13,8633536
300,14,8931651
369,21,12386599
369,21,12498972
442,26,14022550
495,35,14245463
525,37,14333189
525,37,15060969
599,42,17866887
602,43,17966887
902,56,21185758
902,56,21329180
905,57,21654717
905,57,25478916
985,68,25905364
985,68,25997429
1080,76,26178402
1337,86,30767570
1340,87,31064784
1341,88,31173019
1420,94,35056139
1423,95,35180084
1483,100,38035207
1486,101,38449862
1487,102,39450058
1500,106,50789041
1503,107,51170354
1503,107,61825711
