instructions_covered,branches_covered,time_taken_nanos
672,36,8347092
674,37,8559234
730,43,8662099
733,44,8766757
818,50,11176004
821,51,11247650
1065,62,12204624
1068,63,12280808
1144,66,12552313
1182,71,13813523
1185,72,13914695
1384,84,14692509
1387,85,14769946
1390,86,14859225
1469,92,17750075
1472,93,18007253
1569,101,20142099
1569,101,20213034
1806,112,23828126
1809,113,23899040
2112,127,26167550
2115,128,26292086
2115,128,26386195
2226,134,30409942
2229,135,30897295
2285,144,31594337
2288,145,31960250
2541,159,32455449
2576,162,32656941
2579,163,32750288
2583,164,33206523
2595,165,33391103
2612,172,33668078
2653,175,34338699
2699,179,38623771
2757,183,41582700
2760,184,41698980
2817,190,43253487
2817,190,43320724
2821,193,44908714
2824,194,60854599
2824,194,189799033
