instructions_covered,branches_covered,time_taken_nanos
348,15,9170343
351,16,9313073
449,24,13397615
479,26,13486975
816,40,13604648
816,40,13803745
1319,65,17474012
1322,66,17578650
1322,66,17756998
1325,67,17942650
1328,68,18974095
1650,86,23183565
1650,86,23283013
1653,87,23365009
1700,94,26903957
1700,94,26973519
1762,99,28291637
1765,100,28437484
1944,107,29349933
1944,107,29455603
2154,115,32526033
2157,116,32671268
2411,126,38600117
2453,129,38688594
2456,130,38779497
2684,141,39962720
2687,142,40037201
2730,148,44108818
2730,148,44174112
2918,155,44732811
2921,156,44873147
3171,171,47474969
3174,172,47568877
3174,172,47719502
3177,173,47972552
3254,178,50356751
3257,179,50703869
3443,186,53740144
3443,186,53831898
3634,194,55486374
3637,195,55579501
3880,204,59012549
3883,205,59097349
3883,205,59186158
4066,211,59392799
4069,212,59469324
4158,219,62540686
4161,220,62632009
4220,225,64050798
4223,226,64153513
4224,227,64715949
4224,227,203251963
4224,227,303151993
4225,228,1513842792
