instructions_covered,branches_covered,time_taken_nanos
279,17,8490304
346,23,8609199
349,24,8733935
439,31,9882653
802,46,10015484
802,46,10098311
805,47,10427365
842,52,13370223
845,53,13445005
889,60,14362254
889,60,14438999
946,65,15108939
949,66,15262420
992,73,18473236
992,73,18556234
1062,78,21348927
1115,86,21663263
1115,86,21740129
1173,91,23077934
1176,92,23188604
1282,100,26728574
1285,101,26824396
1446,109,26934775
1446,109,27101892
1492,114,29678375
1618,120,31974728
1621,121,32190066
1709,131,36657294
1712,132,36905404
1716,134,37335650
1756,135,37665475
1759,136,38328792
1762,137,70986405
1767,139,116393714
