instructions_covered,branches_covered,time_taken_nanos
376,23,8952028
376,23,9033222
381,25,9523131
384,26,9687663
480,34,12371951
845,49,12619370
848,50,12776868
848,50,12883150
894,57,15454133
894,57,15552820
954,63,18571512
998,70,18811748
1001,71,18942946
1078,78,21854435
1266,87,21968411
1269,88,22064483
1269,88,22165084
1702,124,26242602
1705,125,26611231
1787,135,29930253
1787,135,30016957
1849,141,32550129
1852,142,32689743
1858,145,33581303
1861,146,67996337
1861,146,124607202
1864,147,208569091
1864,147,302846704
1864,147,462999443
