instructions_covered,branches_covered,time_taken_nanos
336,22,9049003
376,23,9218033
379,24,9830534
384,26,10350890
477,33,12853895
842,48,13106944
845,49,13345537
848,50,13443813
891,56,15204580
894,57,15296795
954,63,15995980
1001,71,16185900
1001,71,16256033
1105,79,18905044
1105,79,19037195
1108,80,19130782
1269,88,19300784
1702,124,20588796
1705,125,21043287
1787,135,24549103
1787,135,24644273
1849,141,26746979
1852,142,27011120
1858,145,28647251
1861,146,49800196
1861,146,106343013
1861,146,107976539
1864,147,130996042
1864,147,607221896
