instructions_covered,branches_covered,time_taken_nanos
348,27,9416218
351,28,9645924
528,41,11726518
568,42,11914013
571,43,12001399
636,49,12226305
639,50,12354578
1374,98,14416757
1377,99,14608009
1377,99,14778663
1430,108,20417972
1433,109,20512932
1491,114,22826057
1494,115,23013222
1572,121,26378981
1575,122,26886453
1624,129,30238637
1627,130,30314230
2096,161,33161267
2099,162,33457729
2160,168,38904063
2160,168,38981019
2232,176,42746907
2235,177,42848700
2298,182,44288479
2301,183,44641888
2364,188,47490628
2367,189,47561993
2371,190,48175396
2374,191,56586910
2374,191,1071162873
