instructions_covered,branches_covered,time_taken_nanos
459,26,10003342
461,27,10330722
540,35,14168166
570,37,14298834
570,37,14409223
1001,56,14572412
1057,62,18525816
1057,63,18641455
1191,72,20112413
1191,72,20231849
1221,74,20483436
1462,85,20655342
1527,91,23577101
1530,92,23841832
1583,99,25955269
1583,99,26049768
1654,106,26636851
1657,107,26972306
1942,122,27200138
1945,123,27283426
1948,124,27382173
1948,124,27478536
2015,133,33202746
2015,133,33332512
2078,138,35730928
2081,139,35890370
2085,140,38762544
2088,141,61543576
