instructions_covered,branches_covered,time_taken_nanos
832,53,9194478
1117,74,9443099
1117,74,9680499
1118,75,9825744
1307,86,9995546
1584,107,11939642
1584,107,12027999
1587,108,12159659
1685,119,14372122
1685,119,14480488
1852,135,16898260
1853,136,17073963
1853,136,17207186
1897,145,21279976
1900,146,21472641
1956,157,21739196
1956,157,21813056
1979,165,23862220
1981,166,24069643
2159,178,24886882
2162,179,24969890
2162,179,25098474
2172,182,25407068
2172,182,26130349
2211,189,28568170
2212,190,28819787
2239,198,30899910
2239,198,30977738
2528,219,33217113
2531,220,33322753
2534,221,33425067
2534,221,33775992
2660,236,35535697
2663,237,35629856
2666,238,35729926
2717,246,40602201
2720,247,40869918
2723,248,41030292
2724,249,42401932
2724,249,42525827
2724,249,46436620
2724,249,92816362
2724,249,115577086
2727,250,968133491
