instructions_covered,branches_covered,time_taken_nanos
269,12,8662429
272,13,9223493
345,19,11652266
348,20,11750072
712,35,12009704
715,36,12096839
780,43,15710709
783,44,15802283
1025,54,18157838
1067,57,18251335
1067,57,18375531
1250,66,21762520
1250,66,21859063
1351,75,24840785
1351,75,24921698
1511,83,25050683
1514,84,25134191
1591,90,25359158
1594,91,25502660
1818,99,27902318
1821,100,28074885
1884,106,30963070
1887,107,31080082
2198,128,33430778
2201,129,33501351
2206,131,34314052
2206,131,51508444
2206,131,84208476
2206,131,361562259
2207,132,472405412
2210,133,743923903
2210,133,1247868848
