instructions_covered,branches_covered,time_taken_nanos
533,32,8547642
533,33,9111601
616,41,12992336
616,41,13142231
678,48,16203794
681,49,17215071
750,56,17797244
753,57,18036047
798,64,19174695
798,64,19267812
1072,69,19616513
1075,70,19746770
1140,76,22344744
1140,76,22441357
1200,82,23084476
1203,83,23700945
1263,89,25529270
1266,90,25694554
1442,96,27859367
1442,96,28002508
1540,102,32868141
1699,110,33340616
1702,111,33612081
1761,116,38775008
1764,117,39455768
1768,119,41879542
1773,120,42048883
1776,121,81141633
