instructions_covered,branches_covered,time_taken_nanos
405,23,8717695
408,24,9371725
408,24,9465602
408,24,13420930
626,34,13672657
629,35,13887564
800,46,15756266
800,46,15848731
1146,61,16121398
1149,62,16506548
1193,69,20024897
1193,69,20110479
1262,74,20353360
1265,75,20427320
1627,93,22532480
1627,93,22629544
1630,94,22839252
1692,100,28036333
1695,101,28149598
1737,107,29136278
1737,107,29236338
1777,113,31756264
1777,113,31831457
1941,125,32848745
1941,125,32944146
2109,134,33053944
2112,135,33184281
2176,140,38353920
2237,145,38651724
2240,146,38926575
2538,159,40410979
2538,159,40514836
2538,159,40623011
2539,160,46189312
2542,161,113417082
2542,161,213940914
2542,161,366815868
2543,162,1213310714
