instructions_covered,branches_covered,time_taken_nanos
673,31,9506831
715,37,9620486
715,37,9740885
840,50,12282662
843,51,12728157
931,59,16170111
931,59,16639971
1093,63,19616393
1431,85,19832854
1550,90,20439404
1553,91,20708243
1730,100,22173030
1730,100,22353031
1817,106,22629435
1855,107,23066113
1935,114,24799949
2049,123,24989629
2092,124,25660901
2160,130,26871686
2286,134,28187340
2286,135,29134044
2411,143,30722164
2414,144,31266476
2519,150,35426531
2618,155,37361600
2621,156,37710411
2781,160,38087776
2786,162,38843769
2895,169,43145683
3005,176,46790071
3129,191,53272559
3129,191,53367979
3144,195,58080592
3147,196,61838305
3147,197,92972730
3147,197,97743493
3147,197,112170038
3147,197,149014547
3147,197,153027593
3183,201,175871274
3183,201,176387062
3183,201,198303514
3183,201,206306814
3183,201,209425486
3183,201,213137261
3183,201,217935436
3183,202,237792425
3183,202,245267825
3226,203,254390717
3226,203,274395035
3264,204,298256614
3353,206,301037896
3353,206,425564055
3353,206,590839563
3353,206,779539443
3353,206,955297792
3354,207,1915848010
3354,207,4777256764
