instructions_covered,branches_covered,time_taken_nanos
368,23,7771482
371,24,7854599
374,25,7930974
576,41,8100896
885,56,8209432
888,57,8303660
888,57,8386898
935,65,11006574
935,65,11095863
1007,70,11866794
1010,71,12149340
1339,86,12841602
1342,87,13007216
1415,92,14415615
1418,93,14521576
1460,100,18206801
1460,100,18268618
1501,106,20081234
1501,106,20212503
1575,113,20403124
1578,114,20671763
1648,120,23165090
1651,121,23590737
1789,134,25534902
1965,144,25653868
1965,144,25735853
1968,145,26087409
2087,151,27228542
2090,152,27301240
2424,171,28359025
2427,172,28439417
2427,172,28568161
2505,178,32987548
2508,179,33298437
2571,184,34502189
2574,185,34600485
2578,186,36862763
