instructions_covered,branches_covered,time_taken_nanos
196,9,8177256
199,10,8263019
266,16,11238412
269,17,11319575
347,23,14147218
350,24,14411770
531,31,15600313
534,32,15794752
583,39,17869727
583,39,17943146
702,45,18979652
705,46,19110390
749,52,22247789
749,52,22419575
873,59,23643065
876,60,23880445
1036,67,26869503
1039,68,26968711
1115,73,27607994
1118,74,27803785
1167,82,29118508
1167,82,29253965
1208,87,29993547
1211,88,30074311
1297,94,30571113
1300,95,30886431
1363,100,32847700
1366,101,33074029
1452,107,35322563
1455,108,35445296
1518,113,36255722
1521,114,36428270
1680,121,38931216
1683,122,39052877
1848,130,41972914
1851,131,42182942
1855,132,42467111
