instructions_covered,branches_covered,time_taken_nanos
571,27,8858960
646,33,8991892
646,33,9116728
777,46,11642017
780,47,12071482
867,55,15330191
867,55,15789562
1027,59,18640629
1365,81,18858001
1484,86,19409467
1487,87,19699897
1663,96,20850259
1663,96,20967792
1750,102,21162371
1788,103,21535588
1868,110,22982562
1982,119,23165149
2025,120,23814780
2093,126,24586544
2219,130,25369238
2219,131,26070668
2342,139,27368329
2345,140,27789929
2451,146,31210675
2549,151,33177154
2552,152,33545763
2712,156,33942716
2717,158,34737563
2823,165,38581483
2933,172,41245284
3052,187,46769930
3052,187,46966724
3097,191,51108969
3100,192,52153600
3100,192,60275591
3138,193,66418820
3138,193,75157090
3138,194,89836347
3138,194,90396940
3138,194,96277621
3138,194,98578174
3138,194,126111456
3138,194,136550662
3174,198,160992641
3174,198,175672629
3174,198,177433989
3174,199,336657644
3174,199,365951715
3174,199,390287203
3174,199,566758556
3174,199,597319999
3174,199,603557828
3174,199,647706447
3174,199,653886045
3174,199,827872987
3174,199,1086850296
3174,199,1170817914
3174,199,1514998193
3174,199,1521379714
3174,199,2177421366
3217,200,2352306770
3306,202,2988153616
3306,202,4413843387
3399,204,6742832496
