instructions_covered,branches_covered,time_taken_nanos
407,44,9652915
410,45,9850870
479,50,13001875
482,51,13126892
545,55,16276475
643,63,16498185
646,64,16717070
765,77,19400369
768,78,19614365
768,78,20602268
828,82,26238626
941,100,27506871
941,100,27747527
1024,109,28658735
1027,110,28757242
1100,116,29459123
1100,116,29589610
1173,122,30186111
1176,123,30269599
1247,128,32103327
1326,137,33861721
1431,149,35444152
1533,158,37508547
1571,159,37668300
1571,159,37763290
1642,164,38822639
1720,171,39310013
1809,178,41890005
1809,178,41969206
1944,196,45397056
1947,197,45494501
2040,207,47783141
2040,207,47866168
2131,216,48561597
2134,217,48690391
2202,222,54281564
2400,248,130278265
2443,249,130475419
2508,251,132371555
2573,253,133814060
2638,255,147678761
2703,257,160546733
2768,259,163294814
2873,262,191663259
2923,264,195075950
2988,266,196654934
3053,268,210621439
3118,270,212140048
3183,272,213176163
3248,274,215188890
3313,276,218799326
3378,278,219610184
3378,278,7797583103
