instructions_covered,branches_covered,time_taken_nanos
509,28,8602422
511,29,9409132
570,34,11021659
571,35,11225786
723,45,11408062
1088,60,11580219
1091,61,11670019
1091,61,11790086
1155,67,15418517
1155,67,15489923
1199,73,16209878
1202,74,16294158
1263,79,19210338
1266,80,19557426
1334,88,23231353
1337,89,23395574
1392,95,26200363
1395,96,26273401
1495,101,29140317
1498,102,30034803
1541,108,31327675
1541,108,31390805
1606,116,33246764
1609,117,33398592
1757,125,35757756
1945,134,35913682
1948,135,36015865
1951,136,36393221
2051,141,40560543
2054,142,40665402
2194,150,42366167
2378,160,42475605
2378,161,43108385
2381,162,43232881
2422,165,43529093
2488,173,47356110
2491,174,47570837
2554,180,47825841
2554,180,47912365
2627,186,48093308
2627,186,48175754
2627,187,52023831
