instructions_covered,branches_covered,time_taken_nanos
415,32,8673107
490,41,8814765
493,42,9062946
603,49,10337212
606,50,10463702
656,58,12038528
659,59,12502468
700,71,15407607
703,72,15503258
795,83,17144991
795,83,17258857
795,84,17338879
1061,96,20758724
1103,99,20862841
1103,99,20952461
1154,107,24598495
1157,108,24725155
1204,115,25096730
1207,116,25216587
1311,128,27309476
1314,129,27402182
1388,134,29472577
1391,135,29898224
1646,145,33445181
1646,145,33550671
1700,153,36599282
1703,154,36697648
1752,161,37608586
1755,162,37820447
1758,163,38073778
1758,163,39287229
1758,163,39379794
1761,164,39482589
1762,165,85680773
1762,165,172056213
1762,165,174691891
