instructions_covered,branches_covered,time_taken_nanos
404,27,9073215
480,34,9401758
844,49,9559748
844,49,9661972
847,50,10035169
962,58,14023873
965,59,14210507
1244,71,17604753
1244,71,17708460
1247,72,17901285
1289,78,18995069
1292,79,19092354
1363,86,20235071
1428,91,20463123
1431,92,20582570
1471,98,24175583
1471,98,24287415
1696,107,26936779
1696,107,27036278
1696,107,27318894
1758,113,29758069
1758,113,29877415
1820,119,31983990
1823,120,32081164
1824,121,34384712
1827,122,37026922
1827,122,58821160
1827,122,59405738
1830,123,67273748
1831,124,584568467
