instructions_covered,branches_covered,time_taken_nanos
477,33,8154011
477,33,8230386
566,36,8542508
566,36,8875038
593,42,10775332
594,43,10848851
613,46,11132149
894,60,11511288
946,68,12007318
949,69,12153976
1033,77,12768161
1036,78,12851339
1096,83,15088120
1099,84,15178071
1118,87,16128994
1127,88,16611128
1157,91,16953016
1278,96,18321010
1281,97,18423024
1406,103,22353948
1406,103,22445802
1575,111,22701747
1591,113,22855829
1661,121,23393499
1664,122,23669221
1728,128,23850024
1728,128,23916110
1732,129,27188926
1732,129,41400945
1863,135,55020049
1901,137,71198657
1901,138,103954128
