instructions_covered,branches_covered,time_taken_nanos
711,48,8931636
800,62,9086169
804,63,9191128
827,64,9294484
827,64,9372392
892,70,10968178
894,71,11169159
973,78,13710468
976,79,14154810
1011,85,17317828
1011,86,17426053
1242,104,17987798
1242,104,18069373
1299,109,18167429
1302,110,18423304
1375,116,19609323
1378,117,19798482
1460,127,23471707
1638,137,23579181
1676,140,23727121
1676,140,23871806
1819,150,27406128
1822,151,27533629
1952,160,27637597
1958,162,27892309
2079,167,29971903
2082,168,30415133
2380,184,32559449
2405,186,32660040
2527,193,32913781
2530,197,33047624
2533,198,33132906
2709,204,33733455
2709,204,33846199
2771,209,37788043
2774,210,38221175
2976,219,40905625
2979,220,40993451
3109,229,41237885
3138,231,41360638
3142,232,47271977
3142,232,50297263
3143,233,50595519
3143,233,68195101
3143,233,69937856
3143,233,74325045
3143,233,75331353
3263,242,110223315
3263,242,110518345
3263,242,113633712
3263,242,113914885
3263,242,115200312
3263,242,1759158161
3263,242,4975003669
3263,242,4995469266
3264,243,7833704341
