instructions_covered,branches_covered,time_taken_nanos
435,28,8243050
435,28,8333381
435,29,8415297
684,53,8583856
687,54,9281700
780,66,11273938
798,67,11346195
860,77,14150762
863,78,14399173
942,85,16338491
945,86,16440214
1159,101,17370668
1162,102,17450540
1165,103,17609621
1193,111,19581470
1193,111,19653116
1431,120,21188026
1473,123,21273438
1476,124,21401982
1519,130,26193117
1522,131,26311862
1566,137,29220487
1566,137,29285200
1651,147,29545123
1654,148,29878214
1748,156,33635519
1751,157,33727363
1999,166,34308155
2002,167,34575472
2075,172,38779022
2078,173,38887438
2147,180,41434327
2147,180,41503438
2148,181,42965000
2148,181,128839003
2148,181,129467935
2149,182,270919744
