instructions_covered,branches_covered,time_taken_nanos
1424,87,8346567
1426,88,8435315
1498,94,11246034
1498,94,11370260
1500,95,11580919
1534,100,12273032
1536,100,12751329
1619,110,13646897
1622,111,13744291
1986,127,13911559
1989,128,14426355
2026,134,16804955
2026,134,16880589
2085,139,19714432
2115,141,19808991
2118,142,19886618
2333,156,20128717
2370,161,20743403
2373,162,20840637
2442,167,21189489
2442,168,21594988
2520,175,24872152
2523,176,25054678
2523,176,25869553
2648,190,28422544
2651,191,28552310
2867,201,31424105
2909,204,31551156
2911,205,31632110
2976,212,33736089
2979,213,34061296
3018,219,34787172
3020,220,34905546
3057,225,35786226
3060,226,35860497
3156,236,36952267
3156,237,37029945
3234,244,37734491
3416,254,37896307
3419,255,37997139
3422,256,38088913
3602,266,40911505
3602,266,41001466
3602,266,41165657
3661,273,41605771
3664,274,41707214
3666,275,42635814
3820,285,73903412
3856,291,85660245
3856,291,85881605
3874,295,88221331
3874,295,97727577
4164,312,132292307
4164,312,229895136
4211,319,267451128
4314,327,267658371
4314,328,276517930
4314,328,283184542
4354,330,286319987
4427,333,289251926
4427,333,383583623
4427,333,473482405
4427,333,510394055
4427,333,513625172
4427,333,525293567
4427,333,727386516
4427,333,753522353
4427,333,754552196
4427,333,767048901
4427,333,784703888
4427,333,992120932
4427,333,1018850776
4427,333,1026466516
4427,333,1064812827
4427,333,1075125641
4427,333,1081792203
4427,333,1324836681
4427,333,1347828097
4427,333,1365576170
4427,333,1615005806
4428,334,2360834729
4428,334,2536897060
4428,334,2564836758
4428,334,2566167331
4428,334,2657275446
4428,334,2852022505
4428,334,3185487224
4428,334,3227797530
4428,334,3302355363
4428,334,3320687414
4428,334,3572507482
4428,334,4648907726
4428,334,4662360114
4428,334,4778803748
4428,334,4801888901
4428,334,5073202982
4428,334,5124282456
4428,334,5259711439
4428,334,5272317693
4428,334,5275756182
4428,334,5530724810
4428,334,5542641877
4428,334,5766292311
4428,334,6056847516
4428,334,6342639649
4428,334,7892070174
4428,334,9238124685
4428,334,9528016932
4428,334,9800091143
