instructions_covered,branches_covered,time_taken_nanos
499,45,8740503
502,46,8891920
588,56,9019753
588,56,9102159
712,61,11696979
715,62,12155328
758,69,14836812
761,70,14956349
826,75,15137252
829,76,15241700
960,83,19545280
960,83,19626424
1019,88,20196435
1022,89,20548984
1157,98,23301813
1160,99,23520258
1206,105,23814105
1209,106,23962997
1325,112,27125383
1328,113,27488221
1484,121,29635863
1487,122,29854077
1640,129,35067001
1643,130,35142394
1643,130,35260468
1646,131,35335460
1771,136,36766353
1774,137,37688662
1842,144,38857028
1845,145,39074971
1911,151,41462388
1914,152,41661155
1917,153,44311651
