instructions_covered,branches_covered,time_taken_nanos
1799,115,10021102
1801,116,10092267
1848,124,10291845
1866,125,10458842
1866,125,10594649
1925,132,11168227
1926,133,11234322
1926,133,11744760
1926,133,11805796
1926,133,12081679
1926,133,12348415
1926,133,12709309
1926,133,13740334
2090,144,14373825
2135,149,14925722
2137,150,15245147
2250,163,17853803
2250,163,17926511
2250,163,18609426
2250,163,18874669
2434,175,21924372
2514,182,25046952
2515,183,25222225
2601,191,28006774
2661,198,30009522
2727,205,30663442
2775,211,30932562
2793,212,31023975
2795,213,31146999
2795,213,31686642
2795,213,32318821
2844,221,34069129
2844,221,34145254
2895,230,36719124
2896,231,37116618
2914,232,37557604
2914,232,37806987
2914,232,38008078
2914,232,38394220
2914,232,39486561
2993,243,40984451
2996,244,41345115
3039,250,42048399
3057,251,42161072
3058,252,42475539
3058,252,43207917
3060,253,43404119
3060,253,48336722
3060,253,49112784
3060,253,51346760
3060,253,71523116
3060,254,83863375
3060,254,102867188
3060,254,121686521
3060,254,141954632
3060,254,146367129
3060,254,158187521
3060,254,160927667
3060,254,187736279
3060,254,214801538
3060,254,222962802
3063,255,235784003
3063,255,303712743
3063,255,333193722
3063,255,368478506
3063,255,729852621
