instructions_covered,branches_covered,time_taken_nanos
95,9,8393525
98,10,8471543
187,16,10972244
190,17,11132809
277,23,12835357
280,24,12903336
344,31,15184381
344,31,15252350
385,37,15388478
385,37,15479310
446,42,17537893
449,43,17887687
658,54,18499336
658,54,18577835
728,61,18966682
728,61,19026897
782,69,20523174
782,69,20586654
850,75,22353184
853,76,23130077
1026,85,25275675
1026,85,25352891
1029,86,25461637
1078,92,25679210
1078,92,25797875
1133,95,27544787
1231,102,28655052
1234,103,28862586
1299,108,31262617
1357,113,33106863
1360,114,33216361
1423,119,35238946
1426,120,35543914
1733,129,38225128
1733,129,40169194
1733,129,40335550
1877,135,41024486
1877,135,41317772
1880,136,41444563
1880,136,44827667
1966,144,46164692
1966,144,46286874
1966,144,49273226
2130,152,49708201
2253,159,53129208
2256,160,53275716
2329,167,53797135
2332,168,54086053
2334,169,56468741
2482,177,94131192
2482,177,125310731
2482,177,126102402
2482,177,128969879
2601,180,131009166
2601,180,142502949
2601,180,145899149
2601,180,165793070
2601,180,174216813
2601,180,183192862
2601,180,193554268
2601,180,251585320
2601,180,424080409
2601,180,609821151
2601,180,793952934
2601,180,1034762181
