instructions_covered,branches_covered,time_taken_nanos
387,27,8904594
390,28,9116455
459,35,9279234
559,38,9374505
559,38,9493460
683,48,12148424
686,49,12329307
689,50,12505101
1251,80,12667078
1254,81,13006141
1317,87,13600137
1317,87,13679177
1360,94,14561079
1360,94,14636352
1444,99,16556212
1447,100,16637406
1496,109,19362563
1496,109,19429981
1541,116,22429268
1544,117,22547432
1791,125,24040423
1791,125,24147997
1871,130,26821716
1874,131,26944870
1945,136,31349381
1948,137,31584066
2017,142,33884167
2020,143,34420604
2091,149,38089411
2159,156,38223806
2162,157,38306442
2226,162,41390730
2229,163,41706850
2302,168,42087542
2305,169,42734027
2308,170,44559609
2311,171,98830791
2479,179,99654283
