instructions_covered,branches_covered,time_taken_nanos
769,47,8664068
771,48,9170929
806,53,11979844
809,54,12097037
889,62,14383302
889,62,14464255
890,63,14655818
1217,77,15120830
1253,84,16444059
1255,85,16519372
1506,97,17525008
1544,103,17735107
1544,103,17832341
1646,114,17998156
1646,114,18083668
1649,115,18183768
1809,123,18442739
2037,133,22297217
2040,134,22395764
2104,141,26089387
2107,142,26218552
2110,143,28589548
2113,144,48312514
2113,144,51409797
2113,144,75527977
2114,145,167056903
