instructions_covered,branches_covered,time_taken_nanos
530,26,8872944
735,39,9146162
738,40,9489262
782,47,11819110
782,47,11953845
844,53,13833599
847,54,14029922
899,65,15862276
902,66,15973557
941,71,16324593
944,72,16398082
1015,80,18982212
1018,81,19400234
1150,93,23304056
1153,94,23438090
1548,111,27990462
1551,112,28469300
2203,146,33931627
2226,147,34619922
2238,148,35719066
2276,149,36105269
2352,158,37420783
2352,158,37503850
2355,159,38058682
2359,160,38204508
2362,161,39332697
2372,164,191468768
2372,164,273688854
