instructions_covered,branches_covered,time_taken_nanos
648,29,9012638
648,29,9243466
651,30,9333767
652,31,9490645
702,39,12931388
702,40,13034203
1453,80,13364740
1454,81,13501108
1517,91,13642016
1520,92,13758306
2290,136,14484082
2323,143,15317432
2325,147,16230994
2403,154,17506673
2406,155,17805249
2490,163,21514122
2490,163,21676069
2493,164,21910984
2540,170,24029381
2820,182,24249759
2820,182,24401066
2820,182,24920340
2823,183,25115180
2889,188,27215492
2892,189,27434207
2937,196,30467288
2940,197,30633192
3043,208,33419596
3043,208,33508464
3226,221,33682985
3297,226,33960812
3300,227,34415474
3300,227,35003028
3528,237,37507165
3528,237,37719989
3531,238,38113455
3606,244,40099881
3609,245,40239115
3675,251,45422343
3678,252,45551528
3680,253,46578455
3879,263,78100974
3879,263,84363388
3904,269,88615510
3906,271,110058497
3906,271,126554274
3906,271,134551017
3906,271,157270063
3906,271,169211926
3906,271,210774390
3906,271,285378595
3907,272,480188316
3907,273,563772486
3907,273,647530978
