instructions_covered,branches_covered,time_taken_nanos
403,27,8290710
403,28,8740222
507,36,11870436
585,39,11980465
585,40,12169323
814,52,12308166
885,59,12534205
885,59,12726319
962,66,15323203
965,67,15404948
965,67,16349990
1241,79,17862688
1244,80,17943061
1244,80,18244592
1315,86,21332207
1318,87,21468325
1443,100,23711107
1472,102,23909092
1475,103,24034941
1614,110,24127216
1922,118,26123511
1922,118,26231455
1957,121,26343157
1990,123,26463345
1993,124,26981177
2215,132,30896140
2215,132,31024383
2215,132,31179006
2218,133,32465175
2284,139,33526457
2287,140,33616809
2291,141,34811444
2291,141,34900102
2291,141,46125736
2291,141,58310529
2291,141,62881316
2292,142,828214480
