instructions_covered,branches_covered,time_taken_nanos
394,27,8995085
394,27,9092851
397,28,9179595
501,40,9323408
501,40,9431282
567,46,9528767
567,46,9931651
641,57,12240759
641,57,12387267
666,59,12487908
725,64,15721539
728,65,15857186
1027,78,17189452
1027,78,17286326
1030,79,17417365
1030,79,20603967
1069,86,21878353
1072,87,22006065
1113,93,24413389
1113,93,24498029
1186,99,25479070
1189,100,26313462
1306,114,29602328
1306,114,29690355
1309,115,30092677
1368,120,33627430
1371,121,34217048
1410,127,34777139
1410,127,34845168
1661,137,35853570
1661,137,36012411
1662,138,40184331
1774,146,41772272
1777,147,41922948
1846,152,42174946
1849,153,42561829
1914,159,43985779
1914,159,44080599
1918,160,45915428
1918,160,94775709
