instructions_covered,branches_covered,time_taken_nanos
475,27,8231788
534,33,8475850
534,33,8548949
613,41,12083290
613,41,12203258
977,56,12388940
980,57,12523235
1023,64,14024932
1023,64,14089875
1257,73,17064225
1260,74,17303559
1317,81,20990499
1320,82,21104655
1359,88,23832117
1359,88,23899374
1450,97,26955028
1450,97,27159526
1480,99,27262150
1640,107,27414168
1783,115,29841050
1783,115,29937583
1955,124,30137011
2001,127,30235768
2008,128,30517823
2020,134,30711310
2241,141,33815856
2244,142,34379475
2302,146,36989463
2305,147,37441771
2305,148,40728232
2308,149,43960671
2359,153,295136356
2359,153,295824752
2360,154,1114193729
