instructions_covered,branches_covered,time_taken_nanos
106,7,7861045
109,8,7978477
213,20,9801915
321,29,10003677
614,36,10323263
617,37,10510368
680,42,11522818
683,43,11620663
1209,61,14311585
1212,62,14861808
1280,68,19160339
1283,69,19549677
1597,91,21797880
1602,93,21980205
1605,94,22317715
1631,98,22774702
1631,98,23029705
1791,110,30644072
1791,110,30784348
1791,110,31089596
1795,111,31917446
1798,112,36741002
1801,113,36974484
1801,113,94060461
1801,113,105632101
1801,113,111146907
1895,115,111436786
1907,116,115198067
1919,119,186094288
1919,119,197269286
1919,119,197469586
1919,119,219400216
1919,119,245631522
1919,119,891874499
1919,119,1277872357
1919,119,4514192587
