instructions_covered,branches_covered,time_taken_nanos
639,17,9480566
642,18,9848543
1102,42,10972725
1105,43,11066423
1105,43,11241454
1108,44,11721685
1159,52,15743520
1159,52,15845924
1400,66,17601363
1403,67,17689460
1406,68,17787686
1485,77,20471474
1532,84,21592279
1532,84,21668163
1560,90,21911475
1560,90,22084933
1560,90,22214890
1560,90,23476442
1563,91,52048334
1563,91,55409146
1563,91,55508184
1563,91,60199539
1755,98,60517001
1755,98,62533535
1755,98,64786857
1755,98,65188328
1755,98,67199050
1755,98,71764957
1755,98,73378396
1921,103,73739731
2050,108,80651827
2050,108,87039117
2050,108,87937070
2050,108,107032264
2050,108,158463869
2050,108,159810422
2050,108,161476912
2050,108,167158995
2050,108,169878161
2050,108,170273720
2050,108,170961885
2050,108,173899145
2050,108,175710028
2050,108,177945978
2050,108,186318361
2050,108,186717799
2050,108,190190353
2182,113,192515161
2182,113,198139845
2182,113,205262380
2182,113,208570762
2182,113,209110526
2182,113,215124668
2182,113,217230882
2182,113,291783434
2182,113,325488259
2182,113,330877196
2182,113,409965689
2182,113,418058954
2182,113,420691135
2182,113,430181368
2182,113,432959385
2182,113,444373867
2182,113,446018745
2182,113,447446673
2182,113,456081374
2182,113,459693353
2182,113,465593610
2182,113,465811242
2182,113,471826107
2182,113,473857518
2182,113,489879085
2182,113,573310702
2182,113,588632222
2182,113,596413025
2182,113,604864519
2182,113,611042021
2182,113,611714426
2182,113,615608900
2182,113,615931061
2182,113,623959583
2182,113,624797572
2182,113,630981797
2182,113,644788845
2182,113,647831665
2182,113,659890679
2182,113,677791960
2182,113,688249587
2182,113,785295657
2182,113,789028665
2182,113,791273822
2182,113,792001993
2182,113,807980608
2182,113,808194914
2182,113,817529533
2182,113,836817724
2182,113,841508437
2182,113,851637742
2182,113,855747615
2182,113,856153194
2182,113,863600354
2182,113,871067672
2182,113,875333630
2182,113,884275754
2182,113,892818481
2182,113,899394469
2182,113,900850340
2182,113,906856397
2182,113,961887357
2182,113,1013425804
2182,113,1014539054
2182,113,1020471042
2182,113,1046473853
2182,113,1054072040
2182,113,1068082293
2182,113,1081600253
2182,113,1104999408
2182,113,1116048788
2182,113,1126343206
2182,113,1139723355
2182,113,1144357872
2182,113,1165214897
2182,113,1169776456
2182,113,1178171613
2182,113,1183795947
2182,113,1184507236
2182,113,1191943154
2182,113,1193494115
2182,113,1194485605
2182,113,1196799842
2182,113,1204165668
2182,113,1286324853
2182,113,1299889992
2182,113,1301580848
2182,113,1336415715
